close,high,low,open,timestamp,volume
43449,43487,43449,43468,1703721600,0.33840431
43489,43490,43428,43428,1703721660,0.14650094
43439,43475,43422,43475,1703721720,0.61464988
43449,43452,43448,43452,1703721780,0.01448721
43458,43458,43436,43445,1703721840,0.76703241
43484,43484,43447,43453,1703721900,0.20273830
43495,43496,43495,43496,1703721960,0.00294040
43504,43504,43489,43495,1703722020,0.60973905
43479,43497,43477,43497,1703722080,1.74690426
43472,43478,43472,43478,1703722140,0.01676205
43478,43496,43472,43488,1703722200,0.80733471
43485,43497,43484,43494,1703722260,0.55753645
43493,43507,43484,43484,1703722320,0.67189303
43508,43508,43507,43507,1703722380,0.01216000
43478,43505,43478,43505,1703722440,0.21034102
43488,43488,43478,43481,1703722500,0.00328251
43504,43507,43491,43497,1703722560,0.02179929
43504,43508,43501,43508,1703722620,0.13267342
43496,43496,43495,43495,1703722680,0.00850000
43474,43500,43474,43500,1703722740,3.01650234
43506,43506,43491,43491,1703722800,0.00876036
43534,43534,43507,43507,1703722860,0.08474695
43546,43549,43536,43536,1703722920,1.02859213
43560,43560,43541,43545,1703722980,0.01938095
43581,43581,43560,43560,1703723040,5.30376445
43595,43618,43581,43581,1703723100,29.36426137
43623,43623,43597,43597,1703723160,1.43086801
43623,43623,43622,43623,1703723220,0.06735972
43623,43623,43623,43623,1703723280,0.02618265
43617,43623,43617,43623,1703723340,0.41035312
43643,43644,43623,43623,1703723400,2.00054773
43634,43643,43630,43643,1703723460,0.48410304
43655,43655,43590,43604,1703723520,2.01070979
43685,43748,43655,43655,1703723580,16.59180480
43641,43724,43629,43706,1703723640,0.95706092
43712,43712,43645,43645,1703723700,1.11000833
43786,43786,43693,43703,1703723760,5.37971186
43778,43798,43770,43784,1703723820,2.64887811
43801,43812,43793,43794,1703723880,1.83929212
43775,43804,43769,43804,1703723940,0.11110965
43729,43792,43712,43784,1703724000,0.52625480
43732,43768,43721,43721,1703724060,1.81714791
43690,43744,43671,43728,1703724120,0.10382656
43656,43704,43656,43702,1703724180,0.05277489
43668,43668,43639,43656,1703724240,0.66424859
43693,43704,43660,43660,1703724300,0.04620560
43680,43693,43680,43693,1703724360,0.25682956
43688,43688,43688,43688,1703724420,0.00593458
43737,43737,43678,43678,1703724480,0.14241091
43726,43737,43726,43737,1703724540,0.00638238
43692,43715,43678,43715,1703724600,0.01153535
43694,43702,43679,43679,1703724660,0.02184500
43663,43687,43663,43677,1703724720,0.56158502
43642,43668,43642,43668,1703724780,0.02482838
43639,43655,43637,43641,1703724840,0.05520740
43600,43637,43600,43634,1703724900,1.54294380
43591,43598,43585,43598,1703724960,2.02158801
43620,43621,43590,43590,1703725020,0.04707568
43576,43598,43576,43598,1703725080,0.01822115
43586,43586,43582,43582,1703725140,0.00648000
43593,43613,43574,43613,1703725200,0.43720795
43613,43613,43595,43595,1703725260,0.98101228
43622,43630,43622,43628,1703725320,2.25110635
43621,43621,43612,43612,1703725380,1.58697887
43587,43617,43587,43617,1703725440,1.43688263
43598,43598,43583,43590,1703725500,0.01889467
43616,43623,43596,43596,1703725560,0.09574841
43639,43639,43624,43624,1703725620,0.51682151
43633,43633,43626,43626,1703725680,0.07149007
43646,43647,43643,43647,1703725740,0.32147012
43673,43681,43668,43668,1703725800,0.15208653
43725,43725,43683,43688,1703725860,3.03412088
43712,43712,43711,43711,1703725920,0.00091989
43738,43738,43712,43712,1703725980,0.22584751
43720,43741,43720,43737,1703726040,0.08317798
43733,43737,43726,43726,1703726100,0.19455926
43739,43741,43732,43732,1703726160,0.02363385
43673,43683,43673,43682,1703726220,0.34929678
43679,43679,43655,43657,1703726280,0.12050278
43709,43710,43668,43668,1703726340,0.09183967
43699,43720,43696,43696,1703726400,0.16018864
43647,43693,43647,43693,1703726460,0.11612404
43641,43641,43637,43641,1703726520,0.07751636
43608,43651,43608,43651,1703726580,0.22507418
43631,43633,43631,43633,1703726640,0.07304000
43608,43638,43608,43638,1703726700,0.41414104
43607,43642,43607,43642,1703726760,0.18944857
43614,43616,43607,43612,1703726820,0.10419319
43598,43608,43598,43603,1703726880,0.47529208
43615,43615,43592,43602,1703726940,0.01326656
43630,43630,43603,43603,1703727000,0.10461020
43630,43650,43630,43640,1703727060,0.18093604
